riess_col_corr_oid,col1,F160W,F160W_error,F160W_nepoch,F555W,F555W_error,F555W_nepoch,F814W,F814W_error,F814W_nepoch,FinalAnalysisFlag,LogPeriod,Name,a_g_val,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,astrometric_matched_observations,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_params_solved,astrometric_primary_flag,astrometric_pseudo_colour,astrometric_pseudo_colour_error,astrometric_sigma5d_max,astrometric_weight_al,b,bp_g,bp_rp,dec,decSIMBAD,dec_error,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,duplicated_source,e_bp_min_rp_val,ebv,frame_rotator_object_type,g_rp,l,mWH,mWH_error,matched_observations,mean_varpi_factor_al,parallax,parallaxR16,parallaxR16_error,parallax_error,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_n_obs,phot_variable_flag,pmdec,pmdec_error,pmra,pmra_error,pmra_pmdec_corr,ra,raSIMBAD,ra_dec_corr,ra_error,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_fe_h,rv_template_logg,rv_template_teff,source_id,visibility_periods_used,SEPARATION,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot
18,17,5.4510000000000005,0.021,1,8.867,0.015,1,7.044,0.0139999999999999,1,1,1.215,RW CAM,xxx,10872.7001953125,0.81672766515807,222.96290342646,84.8642,37.0,42.0,303.0,345.0,345.0,31.0,true,1.40038669898454,0.0391693097055101,0.17613,1.35411,3.79868577370812,0.773987,1.81547,58.6533294343057,58.653323888888885,0.123241401464384,0.119553,-0.316779,0.319927,false,xxx,0.984939,0.0,1.04149,144.853190153338,4.799,0.022,47.0,-0.0406542,1.50039665672927,0.517,0.011,0.182394961576324,8.22609,0.164163,0.289871,3073829.44258458,119592.142352242,25.7026,9.13219,40.0,1.4712,8551959.00862433,188853.467871534,45.283599853515625,8.358200073242188,370.0,0.0,9507850.64163081,241756.774843555,39.3282,7.31671,40.0,VARIABLE,1.22571130607392,0.264013615883797,-2.03332766298698,0.308870814206061,0.079802,58.5907020904721,58.59071874999999,-0.266724,0.183128367980866,-0.135109,0.231012,-0.662874,-10.242087038643,6.2212759181628,16.0,0.0,4.5,4250.0,4.7304398712969626E17,15.0,0.0027709127121691075,1636148068921376768,Gaia DR3 473043922712140928,473043922712140928,166724139,2016.0,58.59070073086629,0.10568937,58.65332973791681,0.09456163,0.7133301733770532,0.13709572,5.203154,1.1624937,0.9111219008030048,0.1466153,-0.7219754849716696,0.14504859,0.16040692,0.11002961,0.08794617,0.25541535,-0.04280371,0.2317847,0.18326151,0.017189423,0.036724605,0.14530468,429,429,424,5,130.4785,53742.164,1.362778,1433.6321,31,false,1.3629054,,,,,,,,49,22,0.21936817,58,16,5,0.09504468,23.41784,23,0,8.013022,,,,,,,,,false,496,9621537.833880534,86585.38,111.12196,8.229256,53,3217775.1065646503,109015.58,29.516655,9.069653,52,9927516.569882149,237966.36,41.71815,7.255794,1.3662361,0,37,0,26,0,1.8138585,0.8403969,0.9734616,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,144.85318941356996,3.798685555579248,70.05422494183306,37.36963933109544,false,false,0,true,true,false,true,true,false,true,false,1.02132814E-13,5.101483E-13,0.99998903,,,,,,,,,,,,,,,,,,,,,,
45,44,6.455,0.006,6,9.466,0.011,4,7.927,0.009,3,0,1.095,XY CAR,xxx,488.5899963378906,0.0,0.0,7.49508,32.0,5.0,279.0,284.0,284.0,31.0,true,1.47555700498342,0.0065764544142502,0.035212,234.889,-3.85897583320586,0.699103,1.47874,-64.2628933137806,-64.26290666666667,0.0220189586320922,0.188609,-0.230164,0.0874961,false,xxx,0.892222,0.0,0.779638,291.420235030368,5.912999999999999,0.008,37.0,-0.0783283,0.329523884932869,0.371,0.0069999999999999,0.0266136610186053,12.3818,0.264132,0.186296,1914017.57701744,76960.351282694,24.8702,9.64652,34.0,1.25862,4970251.64685082,44030.3213807303,112.88200378417969,8.947420120239258,318.0,0.0,4341653.26358443,79159.9584554409,54.8466,8.16778,28.0,VARIABLE,3.14844344280317,0.0406086311456943,-5.14473396077786,0.0456696802278051,-0.0277915,165.566882449666,165.5669333333333,-0.0610396,0.0238514281465596,-0.209788,0.00160686,-0.438894,-8.26059146451547,9.60523064135219,4.0,0.0,1.5,5750.0,5.2404400935036518E18,19.0,0.0032100399641749717,1636148068921376768,Gaia DR3 5240441472232302848,5240441472232302848,1346266959,2016.0,165.56688072031935,0.011950445,-64.26289283299536,0.011892159,0.3778753552570313,0.013624672,27.734638,6.2423434,-5.277723605283511,0.015967047,3.333539331996972,0.014479018,0.06406498,-0.016198978,-0.28102836,0.08430182,0.22218145,0.12931216,-0.008190197,0.11435795,0.16735734,0.125388,404,404,397,7,2.0821257,867.8327,0.10150828,10.217761,31,true,1.4065925,,,,,,,,46,28,0.022984715,52,17,2,0.028858446,139.66124,0,0,1.0744047,,,,,,,,,false,451,4993793.220868614,40400.945,123.60585,8.941291,51,1921742.8705665886,63145.074,30.433773,9.629304,51,4646692.292535054,97035.336,47.8866,8.080036,1.3153198,0,0,0,0,0,1.5492678,0.6880131,0.8612547,-6.459302,6.030627,1,10,5,10,167.15132,70.29513,0.0,575.4776,48.032913,5750.0,1.5,0.0,222,,,,7.7530756,0.07479566,4,,VARIABLE,291.4202341464472,-3.8589757016310653,211.62925056889716,-60.40261807862557,false,false,0,true,true,false,true,true,true,true,false,1.02107254E-13,5.100206E-13,0.9999916,5415.7285,5334.69,5562.7837,1.6026,1.5492,1.6629,-0.3474,-0.4606,-0.2086,2205.879,2107.106,2312.0208,1.5101,1.4499,1.6183,1.1802,1.1303,1.2706,0.6358,0.609,0.6843,MARCS
7,6,5.9,0.012,5,9.121,0.011,3,7.468,0.012,3,0,1.232,CD CYG,xxx,366.8160095214844,0.0,1.7508941244662401E-15,4.18745,30.0,2.0,265.0,267.0,267.0,31.0,true,1.43983169082028,0.0075066101882868,0.0377479,146.244,1.42976935968717,0.783015,1.73093,34.1122502906925,34.112274166666666,0.0256653982937316,0.289192,-0.286938,-0.0415096,false,xxx,2.86013,0.0,0.947917,71.0691559480641,5.314,0.0139999999999999,32.0,0.0399879,0.380757516785733,0.3979999999999999,0.008,0.0332442880080498,11.4533,-0.0964398,-0.194902,2357036.23945,148446.104200454,15.8781,9.42047,30.0,1.37643,6612468.73392553,97413.3128844567,67.88050079345703,8.637459754943848,280.0,0.0,6744536.53605759,285836.806569444,23.5958,7.68954,30.0,VARIABLE,-5.56186865513837,0.0485710895878387,-2.00112197638997,0.0543868986408727,-0.00603561,301.110661613061,301.11067166666663,-0.0616593,0.026117524062873,-0.0179556,0.0165366,-0.296871,xxx,xxx,0.0,xxx,xxx,xxx,2.05837001727515034E18,16.0,0.0031248725184852017,1636148068921376768,Gaia DR3 2058374144759464064,2058374144759464064,1758896030,2016.0,301.11066128539693,0.012467656,34.11224946615463,0.0127173755,0.36652193625978186,0.016361248,22.401833,5.92005,-1.9701947511424207,0.016201328,-5.58259136129065,0.016106097,-0.098307274,-0.13407627,-0.17231135,0.023412436,0.15413626,-0.008950036,-0.13690303,-0.14233363,-0.054469734,-0.111059844,427,427,425,2,0.23650885,865.8183,0.11073512,10.584033,31,false,1.375903,,,,,,,,48,27,0.023660103,51,19,0,0.23478867,120.747765,1,0,1.0073757,,,,,,,,,false,435,6919542.103499075,82062.44,84.32046,8.587173,48,2426517.907754306,115078.81,21.085705,9.376083,48,6629096.42990527,200384.02,33.081963,7.6942596,1.3087014,0,0,0,0,0,1.6818237,0.7889099,0.8929138,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,71.06915510580313,1.4297691487431556,315.03388369133484,52.7977579115677,false,false,0,true,true,false,true,true,true,true,false,1.0217647E-13,5.103663E-13,0.99998474,5977.719,5928.5015,6032.404,1.5464,1.5297,1.5637,-0.0117,-0.0143,-0.0075,2034.8124,1998.9514,2069.2812,2.3034,2.2643,2.3452,1.7903,1.7571,1.8263,0.9644,0.9455,0.9852,PHOENIX
17,16,5.856,0.006,5,10.062,0.023,2,7.923999999999999,0.017,2,0,1.5319999999999998,KN CEN,xxx,532.0850219726562,0.0,0.0,8.46138,33.0,8.0,286.0,294.0,294.0,31.0,false,1.37863662736851,0.0073731776369411,0.0369335,232.026,-2.11101924611614,0.999085,2.03201,-64.558315669661,-64.55830999999999,0.0268756844905074,0.208391,-0.337275,-0.0360396,false,xxx,1.81319,0.0,1.03292,307.761442332769,5.083,0.013,42.0,0.0238687,0.189543163070389,0.282,0.005,0.0355830253739487,5.32679,0.0501272,0.0601331,1073253.06975792,45647.3084308799,23.5119,10.2746,40.0,1.39517,3673901.82697769,36759.7049869733,99.9437026977539,9.27554988861084,358.0,0.0,4052458.53214336,115719.5520786,35.0197,8.24262,39.0,VARIABLE,-1.29466376664447,0.0493710868716176,-6.70005251602037,0.0439622339365504,0.337389,204.153660120572,204.1537270833333,0.0459347,0.0243322384908216,-0.10512,-0.0530426,-0.365704,-37.8117651667186,11.4179621047781,3.0,0.25,1.5,4750.0,5.8641402633828434E18,17.0,0.0036278821447006436,1636148068921376768,Gaia DR3 5864135319959353600,5864135319959353600,1244988041,2016.0,204.15365781402897,0.012213816,-64.55831585329346,0.01361822,0.22722925593826832,0.018277874,12.43193,7.0599194,-6.923205746531218,0.014690859,-1.3826368645656348,0.019105654,0.07683149,0.05785257,-0.34017527,0.04279282,0.059073176,0.078516886,0.037720013,-0.028730625,-0.12371243,0.19358096,445,445,440,5,1.0080686,1142.1025,0.12847787,17.371016,31,false,1.3227541,,,,,,,,50,26,0.027110904,60,19,1,0.03970726,139.80647,0,0,1.0335958,,,,,,,,,false,508,3789884.74864108,38664.098,98.020775,9.240802,54,1038447.4847762107,41061.406,25.29011,10.297581,55,4113699.5066151693,118941.57,34.585884,8.212314,1.3594469,0,1,0,0,0,2.085267,1.0567789,1.0284882,-39.715214,5.842385,1,15,5,12,230.6121,107.07233,0.0,987.94403,49.663704,4750.0,1.5,0.25,222,14.739629,14.328163,7,7.7388916,0.09862192,9,,VARIABLE,307.7614413243718,-2.111019254106215,233.0159698496143,-49.339620193669965,false,false,0,true,true,false,true,true,false,true,false,1.02060084E-13,5.09785E-13,0.99999624,,,,,,,,,,,,,,,,,,,,,,
48,47,5.103,0.02,1,7.466,0.021,1,6.176,0.0139999999999999,1,0,0.98,YZ SGR,xxx,145.84500122070312,0.0,0.0,2.36728,13.0,3.0,113.0,116.0,116.0,31.0,true,1.48370273737026,0.0111058930180178,0.0751778,150.356,-7.11797211925808,0.632246,1.30738,-16.7230410498879,-16.723026666666666,0.0453338043435175,-0.302133,-0.419506,0.18278,false,xxx,0.307819,0.0,0.675134,17.752316780554,4.657,0.022,14.0,-0.100209,0.767542364158305,0.7859999999999999,0.017,0.0494802878150952,15.5121,0.12501,-0.0432111,12072852.4943389,773853.888127727,15.6009,7.64686,13.0,1.20292,2.94780993590745E7,451444.275979328,65.29730224609375,7.014619827270508,116.0,0.0,23387023.3189546,882430.338811682,26.503,6.33948,13.0,VARIABLE,-3.31006353957879,0.0901160048505868,0.259385202423625,0.114424899572116,-0.23869,282.369121207714,282.36912,-0.314547,0.0539291018581725,0.0682245,0.177875,-0.487989,29.9990483751727,6.72146405410922,5.0,0.0,1.0,5000.0,4.0991899048256471E18,9.0,0.001876965707720532,1636148068921376768,Gaia DR3 4099189015819292800,4099189015819292800,1656873918,2016.0,282.3691212196899,0.025317993,-16.723041571141096,0.020472094,0.8235234718276118,0.024237482,33.97727,3.3534496,0.004871998074388012,0.029749442,-3.3534459397184957,0.022123491,-0.31299576,-0.075367644,-0.1626916,0.10417644,-0.1941478,0.09867777,-0.22510636,-0.013740455,0.021072999,-0.20685692,160,160,158,2,-0.7481384,346.9946,0.12946615,9.579966,31,false,1.4445311,,,,,,,,18,13,0.042618874,18,7,3,0.058130126,71.13721,0,0,0.9553915,,,,,,,,,false,156,2.9463615206936505E7,311511.53,94.58274,7.0141516,18,1.2545645569252955E7,480205.34,26.125586,7.5923095,18,2.4405642018167146E7,684135.9,35.673676,6.27917,1.2541329,0,0,0,0,0,1.3131394,0.5781579,0.73498154,16.49498,5.153683,1,8,0,8,371.5506,83.719025,0.0,801.1382,31.570858,5000.0,1.0,-0.25,222,15.929166,2.7807095,8,6.030501,0.04617537,8,365.1195,VARIABLE,17.75231631454033,-7.117972360094388,281.90907016043593,6.206345296681887,false,false,0,false,false,true,true,false,true,true,false,1.0224308E-13,5.10699E-13,0.9999782,4801.5186,4789.9263,4819.68,1.4796,1.471,1.4879,-0.78,-0.7927,-0.7559,1107.7595,1098.2244,1119.7797,0.2447,0.2285,0.2664,0.1919,0.1791,0.209,0.1022,0.0953,0.1114,MARCS
38,37,4.9910000000000005,0.004,6,7.616,0.0139999999999999,5,6.252999999999999,0.0069999999999999,4,0,1.276,VY CAR,xxx,235.98500061035156,0.0,0.0,1.63713,24.0,0.0,207.0,207.0,207.0,31.0,false,1.51326478692693,0.0089664232321153,0.0431646,117.791,1.21285177187075,0.75242,1.4717,-57.5653576361875,-57.56536833333333,0.0324096057510673,0.26904,-0.103644,0.210953,false,xxx,1.22403,0.0,0.719284,286.547602026455,4.517,0.0069999999999999,33.0,0.15723,0.512082336464989,0.5379999999999999,0.01,0.0413800915814509,12.3751,0.183921,0.324653,8112172.76684606,280534.930725682,28.9168,8.07855,28.0,1.19294,2.21256470889343E7,249454.642269637,88.69609832763672,7.326129913330078,259.0,0.0,18282316.7673753,347941.289915963,52.5443,6.60684,26.0,VARIABLE,2.48578393733254,0.0554710449171234,-6.21335816039602,0.06190132218114,0.198375,161.136161841563,161.13621166666664,0.012342,0.0330021385677546,-0.315063,0.0506642,-0.362693,23.7081066942157,7.12590206872421,13.0,0.0,4.5,5500.0,5.3511598149090673E18,16.0,0.003547238653201729,1636148068921376768,Gaia DR3 5351161399793209984,5351161399793209984,1430000138,2016.0,161.1361601636056,0.013725223,-57.56535723495042,0.013800443,0.5534810727489844,0.016717449,33.107986,6.7817283,-6.278235230233154,0.016857669,2.5642929201724973,0.015893718,0.06321299,-0.17390886,-0.21426874,0.0397415,0.23894233,0.06929726,-0.18898782,0.10379692,-0.03125145,0.18680876,393,393,390,3,-2.350313,846.99756,0.119675525,11.132821,95,false,,1.4388202,0.0037167086,-0.07429283,-0.09174223,-0.001779765,-0.07890993,-0.024179349,45,27,0.024895614,52,52,0,0.037960857,139.44373,0,0,0.9155577,,,,,,,,,false,429,2.1869454158864465E7,179176.25,122.05554,7.337772,49,8257782.004923983,222398.56,37.130554,8.046384,46,1.9278296423395112E7,424979.3,45.362907,6.535224,1.2591114,0,0,0,0,0,1.5111599,0.70861197,0.80254793,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,286.5476010431487,1.2128517051931564,199.1884480257209,-57.49412345943163,false,false,0,true,true,false,true,true,false,true,false,1.02246465E-13,5.107159E-13,0.9999778,,,,,,,,,,,,,,,,,,,,,,
30,29,6.004,0.008,3,9.621,0.013,2,7.756,0.017,2,0,1.179,SZ CYG,1.016,365.9079895019531,0.0,0.0,5.76022,26.0,1.0,227.0,228.0,228.0,31.0,false,1.40259220669923,0.0065627107330599,0.041521,218.228,3.9764373200654,0.876797,1.86239,46.6012495276867,46.60127277777778,0.0266032678297442,0.341398,-0.447217,0.0406479,false,0.487,2.42327,0.0,0.985591,84.4457834177685,5.336,0.012,31.0,0.0491699,0.361573338600266,0.427,0.008,0.0261559974570429,13.8237,-0.208372,-0.0148616,1531964.34612094,75052.775113033,20.4118,9.88827,29.0,1.38294,4685525.02139563,52795.922436309,88.7479019165039,9.011469841003418,263.0,0.0,4947849.24795753,162067.478340448,30.5296,8.02588,30.0,VARIABLE,-5.42025280742983,0.0516566644640484,-2.25466898124539,0.0458208079483551,-0.207603,308.226210866289,308.22622458333336,-0.104114,0.0216241151399982,-0.00868358,0.0379776,-0.287672,15.650653430858,6.22641503067891,5.0,0.0,4.5,3900.0,2.07143001638987366E18,14.0,0.0031271452587672798,1636148068921376768,Gaia DR3 2071433765909167232,2071433765909167232,7461063,2016.0,308.22621041712125,0.010456356,46.601248715704585,0.01170251,0.4186396791639282,0.012402076,33.75561,6.0053997,-2.17597438398737,0.013474312,-5.59731715652863,0.014035505,-0.12095329,-0.10289895,-0.15390337,0.042551853,0.19084606,0.015047718,-0.2995098,-0.092193514,-0.1230321,-0.12633823,403,403,400,3,-1.2344073,778.33167,0.09243166,9.787074,31,false,1.3500581,,,,,,,,46,26,0.02059225,50,21,2,0.15315734,152.39488,0,0,0.9555735,,,,,,,,,false,409,4941476.897367876,48061.625,102.81544,8.952725,48,1560585.8971913967,56376.15,27.68167,9.855323,48,4945170.440588121,124997.02,39.562305,8.012443,1.3165611,0,0,0,0,0,1.8428802,0.9025974,0.9402828,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,84.4457825785724,3.9764370883500098,334.12724132485454,61.80338248425082,false,false,0,true,true,false,true,true,false,true,false,1.0212083E-13,5.1008845E-13,0.9999902,,,,,,,,,,,,,,,,,,,,,,
32,31,3.768,0.019,1,6.385,0.038,1,4.967,0.023,1,0,1.589,U CAR,xxx,893.5819702148438,0.0896193279561892,2.99745689383167,15.6107,40.0,29.0,322.0,351.0,351.0,31.0,false,1.49565156407144,0.0063525498564471,0.0365221,84.701,0.0428082157501437,0.113488,1.1466,-59.7321795816014,-59.73218888888889,0.0256081023891627,0.183312,-0.392973,0.119309,false,xxx,2.82745,0.0,1.03311,289.057025604821,3.272,0.026,46.0,-0.0699456,0.478972546064478,0.596,0.013,0.0293417503171224,16.3239,0.199751,0.21313,23814212.7633232,1374615.66736931,17.3243,6.9093,38.0,1.76364,3.60597202273337E7,1809981.41410858,19.922700881958008,6.795810222625732,396.0,0.0,39782150.6329728,4506592.8386254,8.82755,5.7627,40.0,VARIABLE,2.17147725428972,0.0476648463304856,-5.9659102551868,0.0482551490989328,-0.0412505,164.450726913233,164.45077749999996,-0.0859955,0.024662608466877,-0.207134,0.0345787,-0.429794,18.1009809104523,4.53258563617324,17.0,0.0,1.0,5000.0,5.338359850294313E18,19.0,0.0033382657478760397,1636148068921376768,Gaia DR3 5338359442320395904,5338359442320395904,732541165,2016.0,164.45072523344564,0.01901664,-59.7321792034435,0.018778473,0.5530473206963148,0.022607977,24.462488,6.426427,-5.9627194180132,0.027295738,2.39686054998558,0.02425833,0.1760648,0.13679108,-0.038111582,0.11371944,0.16086519,0.09856303,-0.15934844,-0.007114357,-0.0625408,0.3563162,325,325,317,8,5.544096,1284.0907,0.19481382,39.40533,95,false,,1.4156009,0.005108745,-0.051619604,0.04439908,-0.07016316,-0.21301426,-0.041819736,37,23,0.041817144,38,14,22,0.049795445,128.1826,0,0,1.2291929,,,,,,,,,false,320,6.484469932991017E7,1040357.1,62.32927,6.1576805,36,2.5807504918170203E7,1696376.6,15.213311,6.8091774,36,5.8029116251597576E7,2433625.0,23.844725,5.3387804,1.2928832,0,0,0,0,0,1.470397,0.6514969,0.8189001,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,289.05702467766133,0.04280819983339051,204.3322926703589,-57.79603686404725,false,false,0,true,true,false,true,false,true,true,false,1.02325124E-13,9.9305605E-11,0.99997,4868.435,4852.002,4906.438,0.9099,0.8959,0.9216,-1.2903,-1.3437,-1.2443,1524.0605,1506.0852,1544.7308,0.9155,0.8916,0.9555,0.7062,0.6875,0.7382,0.3809,0.3706,0.3984,PHOENIX
50,49,6.513,0.008,3,9.754,0.019,2,8.079,0.021,2,0,1.111,Z SCT,0.752,149.17999267578125,0.0,0.0,0.995202,16.0,3.0,138.0,141.0,141.0,31.0,false,1.45152341988299,0.0114791854190391,0.0558539,224.077,-0.772340035932371,0.878661,1.7434,-5.82091246580403,-5.8209027777777775,0.0422571041101054,-0.117206,-0.40773,-0.281126,false,0.367,4.0392,0.0,0.86474,26.786085669917,5.917999999999999,0.0139999999999999,18.0,0.00812621,0.410165547057182,0.362,0.0069999999999999,0.0457529842149214,8.96478,-0.0885318,-0.223628,1198526.48059911,65993.3398678948,18.1613,10.1548,15.0,1.27115,3672005.25421474,48280.9128431264,76.05500030517578,9.27610969543457,141.0,0.0,3469135.12181888,114061.048803893,30.4147,8.41137,17.0,VARIABLE,-2.19096575477317,0.0737108513808971,-0.41890950074919,0.0846380878022309,0.0662992,280.738639515755,280.73864124999994,0.117532,0.043136133627872,0.04328,-0.304299,-0.312938,xxx,xxx,0.0,xxx,xxx,xxx,4.2534401162084352E18,9.0,0.0012667248134010842,1636148068921376768,Gaia DR3 4253435825622331392,4253435825622331392,702344538,2016.0,280.7386394804979,0.015355212,-5.820912815919463,0.014223361,0.31880471267192256,0.017964354,17.746517,2.2369456,-0.37920362207039415,0.021221852,-2.204570427426952,0.01684495,-0.017705008,0.060752396,0.030699443,-0.16357146,-0.278985,-0.19407696,-0.16943161,0.04751933,-0.18785296,0.03964477,203,203,202,1,-1.9175638,306.25253,0.069128565,3.1937861,31,false,1.3816632,,,,,,,,23,14,0.029562257,23,7,2,0.14960535,134.98187,0,0,0.9033309,,,,,,,,,false,192,3850837.532568324,50276.598,76.59304,9.223479,20,1299157.6334806767,72932.52,17.813145,10.054388,20,3581419.382326882,131556.31,27.22347,8.362758,1.2674066,0,0,0,0,0,1.6916304,0.8309088,0.8607216,53.293423,3.5630186,1,2,1,2,68.62189,5.2066464,,528.8023,,5500.0,0.5,0.0,111,,,,,,,,VARIABLE,26.78608534244395,-0.772340164742105,281.1891839505823,17.202229765508925,false,false,0,false,false,false,true,false,true,true,false,1.02169236E-13,5.103302E-13,0.99998546,4706.399,4682.943,4781.816,1.3881,1.3584,1.4317,-0.5432,-0.6406,-0.4562,2536.0796,2450.0728,2603.2314,1.2282,1.199,1.3027,0.9238,0.9011,0.9825,0.4921,0.4796,0.5231,MARCS
3,2,6.766,0.0069999999999999,3,8.984,0.02,2,7.854,0.009,2,0,0.99,AQ CAR,xxx,300.7409973144531,0.0,1.98023432827659E-15,4.26399,24.0,1.0,208.0,209.0,209.0,31.0,false,1.5495701351231,0.0079683127983999,0.0447449,224.211,-3.3048050534192,0.507387,1.1551,-61.0740759185009,-61.07409277777778,0.0297729375743687,0.106456,-0.333419,0.254501,false,xxx,0.667636,0.0,0.647717,285.772711611152,6.382000000000001,0.011,30.0,-0.0594976,0.286733325031121,0.35,0.0069999999999999,0.0301559289716635,9.50836,0.0483294,0.0931698,3169065.7447826,108501.017780122,29.2077,9.09906,28.0,1.23305,6897265.92699464,59987.4076969714,114.97899627685547,8.591670036315918,249.0,0.0,5335625.98909711,103941.324312412,51.3331,7.94396,28.0,VARIABLE,3.93901071240695,0.0578225580488903,-6.37155569511466,0.0583348676139518,-0.0593071,155.345674900538,155.34573124999997,-0.225443,0.0285277973340187,0.0190473,0.231081,-0.389,-2.85256165924903,6.46816212269674,5.0,0.0,2.0,5750.0,5.2546600773856788E18,16.0,0.0038824584536415133,1636148068921376768,Gaia DR3 5254662177677566464,5254662177677566464,1354298166,2016.0,155.34567308596877,0.014355044,-61.07407529178226,0.0143963415,0.35046760720030734,0.0155368205,22.557228,7.4383254,-6.186854120193253,0.01833248,4.129348519302233,0.01781573,-0.095819935,0.13865866,-0.2409569,0.22261237,-0.023442656,0.22488222,-0.24617697,0.080619626,0.043211155,-0.008896371,351,351,349,2,1.7697004,803.0597,0.116526134,10.951668,31,false,1.502888,,,,,,,,40,26,0.026349524,45,16,1,0.055770397,96.892265,0,0,1.0672319,,,,,,,,,false,381,6576486.01492284,46774.773,140.599,8.642382,43,3049697.320887093,86761.47,35.150364,9.1279,42,5230128.6535106795,91973.27,56.865746,7.9516144,1.2590046,0,0,0,0,0,1.1762857,0.48551846,0.6907673,13.691765,5.042215,1,10,4,9,182.73068,76.05513,0.0,828.37933,31.243742,5750.0,1.0,0.0,222,10.485922,2.0350275,6,7.6740217,0.05554298,6,,VARIABLE,285.7727105320503,-3.3048050035415573,200.34936657215795,-62.04046858263767,false,false,0,true,true,false,true,true,true,true,false,1.0319148E-13,5.154362E-13,0.999885,5011.295,4983.195,5047.545,1.5894,1.5722,1.6067,-0.3583,-0.3937,-0.3256,2417.1516,2384.7722,2451.2405,0.2536,0.2286,0.2857,0.2011,0.1811,0.227,0.1064,0.0957,0.1201,MARCS
