source_id,ra,dec,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,type_best_classification,mode_best_classification
4096107909387492992,275.3457607415589,-18.860034027348057,1.9748058176899155,0.057989188,34.054726,5.4751625,DCEP,FUNDAMENTAL
2073186559250383744,295.8598978107851,38.920230496852305,1.074894518792948,0.013439762,79.97868,10.25954,DCEP,FIRST_OVERTONE
4103901934998323968,279.7016745898293,-13.412781462043371,0.7622409521702698,0.025254926,30.181873,8.774492,DCEP,FIRST_OVERTONE
4080122796947250176,281.322899483177,-20.64739456406258,0.7739499433712301,0.061608456,12.562398,7.2488747,DCEP,FUNDAMENTAL
455914562346088704,35.965586854473585,55.36485100844179,0.931817672632079,0.02474584,37.65553,6.000012,DCEP,FUNDAMENTAL
5934398717159140736,247.04679192579567,-51.19898805568618,0.5027574620999171,0.0141260065,35.59091,9.766404,DCEP,FIRST_OVERTONE
251325959859513856,58.19375780642378,51.480984957718036,0.6372459848176896,0.016746452,38.052597,8.680821,DCEP,FUNDAMENTAL
4685934840424258816,13.223228118727777,-73.19550982610119,0.7844502204537069,0.11520734,6.80903,16.79408,DCEP,FUNDAMENTAL
4685948167679123712,11.824124818384673,-73.15112409791368,2.4365958981602125,0.28498966,8.549769,18.15001,DCEP,FUNDAMENTAL
5884368498528237952,235.58714333318548,-55.31194067495213,0.5968835045929278,0.019319529,30.895346,8.493722,DCEP,FUNDAMENTAL
6058439910929477120,187.9179311373731,-59.42394107397813,1.784268804112293,0.049859464,35.78596,5.2722187,DCEP,FIRST_OVERTONE
3356940155020790656,98.73938107212598,15.330460663767354,0.9723208092512202,0.0281999,34.479584,6.7501097,DCEP,FUNDAMENTAL
5613541295473114496,111.6176688486281,-25.92676802746459,0.5964936904863377,0.012176291,48.988125,9.042099,DCEP,FIRST_OVERTONE
5854560115494081024,215.45223418450348,-61.549662306349795,0.5489217090880792,0.021112714,25.99958,8.3030615,DCEP,FUNDAMENTAL
4207681367143932800,292.3390104415707,-7.044125973656825,1.7299832017287864,0.08748936,19.773642,6.1610203,DCEP,FUNDAMENTAL
4293157229319068544,287.9965392473384,4.354829086904476,1.068258254542286,0.01836588,58.16537,7.250043,DCEP,FUNDAMENTAL
2055014277739104896,303.09510555227877,32.871599665362666,0.5130008170404031,0.01925514,26.642277,9.016481,DCEP,FUNDAMENTAL
5960623272099513856,264.40650526633635,-40.81354966306969,0.9106988592545205,0.02213807,41.13723,7.0686555,DCEP,FIRST_OVERTONE
2200153454733285248,337.2928846512036,58.41520817273959,3.5550642334569473,0.14753917,24.095732,3.8505998,DCEP,FUNDAMENTAL
4685947583529848576,12.022620115260038,-73.16527008915143,0.5502077395749925,0.10696572,5.1437764,18.186378,DCEP,FIRST_OVERTONE
195373217573454464,82.16349483157283,42.43772581387565,0.5060727369856335,0.017023604,29.727709,9.457623,DCEP,FUNDAMENTAL
5537743094157581568,119.44026790303079,-40.123336587531924,0.9110317878697062,0.019895164,45.79162,7.1557727,DCEP,FUNDAMENTAL
5324034867356093056,137.06554453409234,-51.43625401775564,1.0362069211939346,0.016881593,61.38088,7.220882,DCEP,FUNDAMENTAL
4663665946029028608,79.09805908382509,-64.91359915203621,0.7252827756370915,0.14492355,5.0045886,15.690307,DCEP,FUNDAMENTAL
4240272953377646592,298.11824336043924,1.0056218968067914,3.6714961421919132,0.19419388,18.906343,3.7476714,DCEP,FUNDAMENTAL
4251917636212432384,280.93130508577883,-7.731093599218625,0.8984895346991747,0.022722483,39.541874,7.8935113,DCEP,FUNDAMENTAL
4147381366335558784,272.50887793974624,-13.545961888655592,0.5351415727679009,0.019534282,27.394995,10.01851,DCEP,FUNDAMENTAL
5258418929684479488,152.6533201266987,-58.29636477552608,0.5575961654409083,0.020218434,27.578604,11.974052,DCEP,FUNDAMENTAL
1964855904803120640,319.8424261105,38.23746456503614,1.083084837993433,0.073792666,14.677404,5.724996,DCEP,FIRST_OVERTONE
