source_id,ra,dec,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,type_best_classification,mode_best_classification
4658036828819820800,83.19373243902551,-69.37312762730657,-0.056150722533047204,0.023238804,-2.4162483,15.327039,DCEP,FIRST_OVERTONE
4658082866541725312,80.50821923585261,-69.37956965936988,-0.028926653100682872,0.033990897,-0.8510118,16.015202,DCEP,FUNDAMENTAL
4658085134286940416,80.50173024058563,-69.2924993717773,-0.025254792964616593,0.027987575,-0.9023573,15.664645,DCEP,FIRST_OVERTONE
4658098882526211200,81.50939386387776,-69.30010252829786,-0.2902289680230659,0.105670795,-2.746539,16.716436,DCEP,FUNDAMENTAL
4659112490428308736,87.3415152359349,-68.08930805855725,0.04565411278496655,0.035139162,1.2992375,16.216915,DCEP,FIRST_OVERTONE
4659148641176776320,88.6478523217208,-68.05915840669454,0.03023533915836846,0.031604666,0.95667326,16.163088,DCEP,FIRST_OVERTONE
4659200112067611520,87.79748019200002,-67.8932811865575,0.05947935771592946,0.043810062,1.3576643,16.251253,DCEP,FIRST_OVERTONE
4659202311090827008,87.7872314541341,-67.79175294569329,0.051811637082011,0.029342808,1.7657355,15.578519,DCEP,FUNDAMENTAL
4659216158065166720,87.28715167417049,-67.77942939255078,-0.06262878890059582,0.032886077,-1.9044166,16.046053,DCEP,FIRST_OVERTONE
4659219868917517824,87.10723224558978,-67.60655885136764,0.001249956212012019,0.026485806,0.047193438,15.803908,DCEP,FIRST_OVERTONE
4659242649425919360,87.4028363387706,-67.60499329961816,-0.08084121272233738,0.052304685,-1.5455827,16.975681,DCEP,FIRST_OVERTONE
4659251789115315968,87.26412757884015,-67.37174811640031,-0.014662860902989634,0.03254037,-0.45060524,15.961374,DCEP,FIRST_OVERTONE
5355668435383918848,155.47319875985193,-54.51599248931427,0.08624990161384928,0.03596703,2.3980267,16.319862,DCEP,FIRST_OVERTONE
5520935444020919296,122.93820288208265,-44.1721035271446,0.09984887721095181,0.019931374,5.0096335,15.004108,DCEP,FUNDAMENTAL
