,F160W,F160W_error,F160W_nepoch,F555W,F555W_error,F555W_nepoch,F814W,F814W_error,F814W_nepoch,FinalAnalysisFlag,LogPeriod,Name,a_g_val,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,astrometric_matched_observations,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_params_solved,astrometric_primary_flag,astrometric_pseudo_colour,astrometric_pseudo_colour_error,astrometric_sigma5d_max,astrometric_weight_al,b,bp_g,bp_rp,dec,decSIMBAD,dec_error,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,duplicated_source,e_bp_min_rp_val,ebv,frame_rotator_object_type,g_rp,l,mWH,mWH_error,matched_observations,mean_varpi_factor_al,parallax,parallaxR16,parallaxR16_error,parallax_error,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_n_obs,phot_variable_flag,pmdec,pmdec_error,pmra,pmra_error,pmra_pmdec_corr,ra,raSIMBAD,ra_dec_corr,ra_error,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_fe_h,rv_template_logg,rv_template_teff,source_id,visibility_periods_used
14,6.797999999999999,0.005,3,9.278,0.016,2,8.007,0.013,2,0,0.964,HW CAR,xxx,338.206,0.0,0.0,3.88263,29.0,4.0,248.0,252.0,252.0,31.0,False,1.52080179031949,0.0064954882768249,0.0339084,257.173,-2.25651076281482,0.583956,1.29032,-61.1524318003675,-61.1524425,0.0250806640957318,0.32742,-0.195361,0.0216192,False,xxx,0.846941,0.0,0.706366,287.674426451463,6.359,0.009,32.0,-0.0463521,0.328374725296689,0.368,0.0069999999999999,0.0290990850108444,11.2847,-0.00247193,0.299477,2288299.70334189,46056.9332298412,49.6842,9.45261,31.0,1.2447,5344243.45625389,28205.6336272951,189.474,8.86865,279.0,0.0,4363691.23039472,55443.8168586777,78.7047,8.16228,30.0,VARIABLE,2.52137369073804,0.0447812588983383,-6.16882359426657,0.0463261117655578,-0.039208,159.834650888115,159.83470583333337,0.061312,0.0224050085872376,-0.081088,-0.0786941,-0.234505,-12.217070408445,4.39258691581768,6.0,0.0,2.0,5750.0,5.2541e+18,17.0
15,8.292,0.015,1,11.598,0.017,1,9.862,0.021,1,0,1.086,KK CEN,0.478,488.789,0.0,0.0,8.54734,30.0,8.0,252.0,260.0,260.0,31.0,False,1.44401372624138,0.0069721862703348,0.0420413,338.517,2.70725417080208,0.82591,1.77144,-58.9933881073089,-58.99339527777778,0.0301518462531843,0.106478,-0.627789,-0.112166,False,0.194,0.918624,0.0,0.945526,294.180685836171,7.673999999999999,0.018,39.0,0.00531971,0.0992016357908072,0.1669999999999999,0.003,0.0309656206260777,3.20361,0.119413,0.0248535,251805.690084407,12234.7022129357,20.5813,11.8487,35.0,1.36037,734886.597703683,8729.91200791337,84.1803,11.0228,311.0,0.0,747915.278509572,22275.9000029994,33.5751,10.0773,35.0,VARIABLE,1.71646092127159,0.0535837941080975,-6.40876702293956,0.0499938110679354,0.107494,175.700841903912,175.70089541666664,0.124227,0.025770526286822,-0.230324,-0.147648,-0.493582,-10.7388214301937,3.5640038023125,5.0,0.0,3.5,6000.0,5.33639e+18,17.0
16,5.856,0.006,5,10.062,0.023,2,7.923999999999999,0.017,2,0,1.5319999999999998,KN CEN,xxx,532.085,0.0,0.0,8.46138,33.0,8.0,286.0,294.0,294.0,31.0,False,1.37863662736851,0.0073731776369411,0.0369335,232.026,-2.11101924611614,0.999085,2.03201,-64.558315669661,-64.55830999999999,0.0268756844905074,0.208391,-0.337275,-0.0360396,False,xxx,1.81319,0.0,1.03292,307.761442332769,5.083,0.013,42.0,0.0238687,0.189543163070389,0.282,0.005,0.0355830253739487,5.32679,0.0501272,0.0601331,1073253.06975792,45647.3084308799,23.5119,10.2746,40.0,1.39517,3673901.82697769,36759.7049869733,99.9437,9.27555,358.0,0.0,4052458.53214336,115719.5520786,35.0197,8.24262,39.0,VARIABLE,-1.29466376664447,0.0493710868716176,-6.70005251602037,0.0439622339365504,0.337389,204.153660120572,204.1537270833333,0.0459347,0.0243322384908216,-0.10512,-0.0530426,-0.365704,-37.8117651667186,11.4179621047781,3.0,0.25,1.5,4750.0,5.86414e+18,17.0
17,5.4510000000000005,0.021,1,8.867,0.015,1,7.044,0.0139999999999999,1,1,1.215,RW CAM,xxx,10872.7,0.81672766515807,222.96290342646,84.8642,37.0,42.0,303.0,345.0,345.0,31.0,True,1.40038669898454,0.0391693097055101,0.17613,1.35411,3.79868577370812,0.773987,1.81547,58.6533294343057,58.653323888888885,0.123241401464384,0.119553,-0.316779,0.319927,False,xxx,0.984939,0.0,1.04149,144.853190153338,4.799,0.022,47.0,-0.0406542,1.50039665672927,0.517,0.011,0.182394961576324,8.22609,0.164163,0.289871,3073829.44258458,119592.142352242,25.7026,9.13219,40.0,1.4712,8551959.00862433,188853.467871534,45.2836,8.3582,370.0,0.0,9507850.64163081,241756.774843555,39.3282,7.31671,40.0,VARIABLE,1.22571130607392,0.264013615883797,-2.03332766298698,0.308870814206061,0.079802,58.5907020904721,58.59071874999999,-0.266724,0.183128367980866,-0.135109,0.231012,-0.662874,-10.242087038643,6.2212759181628,16.0,0.0,4.5,4250.0,4.73044e+17,15.0
18,6.483,0.022,1,9.372,0.021,1,7.862999999999999,0.016,1,0,1.17,RW CAS,xxx,451.924,0.0,0.0,3.99059,40.0,5.0,343.0,348.0,348.0,31.0,True,1.46248008177411,0.005561582536952,0.0633289,242.208,-4.56930089192048,0.737957,1.58723,57.7592161371384,57.75922,0.0352517604504966,-0.188615,-0.659557,-0.168122,True,xxx,0.581534,0.0,0.849276,129.029962633299,5.952000000000001,0.024,45.0,0.0378327,0.345537578604279,0.326,0.0069999999999999,0.0385086044064408,8.973,0.0863801,0.271429,1766927.71533274,69305.835632787,25.4946,9.73334,42.0,1.30295,4755460.3074524,41288.239235982,115.177,8.99538,374.0,0.0,4429191.23139672,100712.767087484,43.9784,8.14611,41.0,VARIABLE,-0.902415169323972,0.0936523199272276,-0.84656113173877,0.0595100505502991,-0.0587889,24.3084075205266,24.308414166666665,-0.0834588,0.01915203296929,0.0919222,-0.104677,-0.067804,-55.7059587726797,6.17300846678143,9.0,0.0,4.5,4500.0,5.08915e+17,14.0
19,6.715,0.01,1,10.075,0.019,1,8.333,0.04,1,0,1.084,RY CAS,xxx,450.059,0.0,1.70004058348519e-15,6.30605,32.0,4.0,280.0,284.0,284.0,31.0,False,1.43311403928219,0.0059062779579656,0.0364799,254.018,-3.24677599599097,0.896313,1.75626,58.7417199755181,58.74172416666666,0.025710895035886,0.189502,-0.420036,-0.00500987,False,xxx,1.19309,0.0,0.859947,115.287317750723,6.093999999999999,0.02,39.0,-0.0606222,0.319332582593147,0.347,0.0069999999999999,0.0334758191237679,9.5392,0.140338,-0.303805,1073993.90291286,49727.397003444,21.5976,10.2739,37.0,1.26172,3344395.85254802,36170.40411878,92.4622,9.37757,329.0,0.0,3145707.47632869,81535.2435006965,38.581,8.51762,35.0,VARIABLE,-0.988248921581104,0.0472676164340484,-2.9989159333719,0.0465588576049156,-0.213955,358.029275378056,358.0293,-0.1206,0.0237069781905549,0.242463,0.0898975,-0.35179,xxx,xxx,0.0,xxx,xxx,xxx,1.99925e+18,16.0
20,4.408,0.01,3,8.207,0.012,3,6.206,0.01,3,0,1.308,RY SCO,0.8015,162.144,0.0,0.0,3.05397,13.0,0.0,116.0,116.0,116.0,31.0,True,1.37810839788183,0.0179396536092796,0.181676,106.409,-3.41967487894781,1.04082,1.99487,-33.7056760024628,-33.705669444444446,0.101327843297118,0.223058,-0.854658,-0.705388,False,0.3945,1.41227,0.0,0.95405,356.489245083188,3.688,0.012,16.0,0.261082,0.797523764012281,0.7509999999999999,0.0139999999999999,0.100250788225904,7.95529,-0.312441,-0.676441,5676961.36259004,336093.44268523,16.891,8.4661,16.0,1.30686,20194506.1058964,310320.467942912,65.0763,7.42528,142.0,0.0,20714525.7075772,807164.242742549,25.6633,6.47123,16.0,VARIABLE,-1.4801052463214,0.165421334304523,0.997824613113666,0.257033696423198,0.744507,267.718111094096,267.7181058333333,0.763339,0.146716290693367,0.595475,-0.778955,-0.883374,-9.22989102381934,5.42083984285989,7.0,0.0,4.5,3800.0,4.04169e+18,8.0
21,5.211,0.017,1,8.523,0.036,1,6.757000000000001,0.016,1,1,1.449,RY VEL,xxx,2309.76,0.782291047856982,64.9174835385468,37.7509,25.0,3.0,210.0,213.0,213.0,31.0,False,1.44891772881321,0.0297389459471084,0.163206,1.53966,1.47492834976143,xxx,xxx,-55.3213808986034,-55.32139861111112,0.144340920418534,0.28181,-0.186477,0.178406,False,xxx,1.76196,0.0,xxx,282.568863523013,4.581,0.023,46.0,-0.0503009,-0.809394764464998,0.4029999999999999,0.009,0.176980365266531,-4.57336,-0.0809067,0.224142,xxx,xxx,xxx,xxx,0.0,xxx,64879.0452436158,20345.743296388,3.18883,13.6581,370.0,0.0,xxx,xxx,xxx,xxx,0.0,VARIABLE,4.17350509556431,0.283406841503724,-6.90209285299425,0.30625561933803,0.165871,155.170913448259,155.17096541666666,-0.0342517,0.150463148397294,-0.228199,0.117055,-0.33936,-3.22456459531747,2.62234192692457,15.0,0.0,1.5,5500.0,5.35506e+18,15.0
22,4.391,0.012,1,6.577999999999999,0.011,1,5.41,0.012,1,0,0.989,S NOR,xxx,835.097,0.0,0.0,11.6695,50.0,18.0,410.0,428.0,428.0,31.0,False,1.5397030303203,0.0068106778773174,0.0457714,325.823,-5.40348080559181,0.671288,1.26824,-57.8998025172419,-57.8997925,0.0221185375580948,0.00113634,-0.352279,-0.417359,True,xxx,0.393355,0.0,0.596949,327.753546323773,3.992,0.0139999999999999,58.0,-0.0744862,1.06157509122047,1.053,0.021,0.0422096322926832,25.1501,0.174512,-0.14483,25813389.9681902,1035484.68327386,24.9288,6.82178,43.0,1.13333,65335787.4254672,333906.635579893,195.671,6.15049,478.0,0.0,48233913.9575205,993503.415241088,48.5493,5.55354,50.0,VARIABLE,-2.28672234332461,0.0564786011722864,-1.41497143839471,0.0663137815551518,-0.111542,244.715952424681,244.71596375,0.520148,0.037270876155273,-0.144479,-0.370207,-0.538861,-1.37633864820223,2.65481256100893,24.0,0.25,2.0,5750.0,5.83512e+18,14.0
23,4.885,0.01,4,9.167,0.008,3,6.862,0.012,3,0,1.839,S VUL,xxx,557.199,0.0,0.0,7.98155,36.0,3.0,318.0,321.0,321.0,31.0,False,1.38623721791636,0.0076316568379426,0.0377302,96.7574,0.829833568615056,1.16634,2.20137,27.286481851581,27.286507222222223,0.0286620939729514,0.357922,-0.0739316,0.0678407,False,xxx,2.23666,0.0,1.03503,63.4453886508393,4.047,0.011,42.0,0.0261432,0.30499980950343,0.287,0.006,0.0406384371546782,7.50521,-0.0744436,-0.0871955,2835567.14866452,78237.7245526811,36.243,9.21979,37.0,1.3556,11323142.9488605,67632.0161854117,167.423,8.05345,354.0,0.0,12514093.8476707,174636.181409377,71.6581,7.01842,40.0,NOT_AVAILABLE,-5.92282873660775,0.0589552476046802,-3.40149151739709,0.0580717690321229,0.000796549,297.099176892859,297.0991933333333,-0.165628,0.0240643357472283,-0.13942,0.10106,-0.0860858,10.4616489508353,2.70265361228126,20.0,0.0,4.5,5250.0,2.02797e+18,15.0
24,6.894,0.011,3,10.121,0.012,4,8.443999999999999,0.008,4,0,1.092,SS CMA,xxx,488.493,0.0,0.0,4.3707,42.0,3.0,364.0,367.0,367.0,31.0,True,1.44582291756013,0.0053285406141232,0.0360684,276.5,-4.19896376869981,0.831062,1.67404,-25.2572989773815,-25.257344166666662,0.0234222504045563,0.176913,-0.289958,0.0652316,False,xxx,1.07472,0.0,0.84298,239.233873080462,6.299,0.012,48.0,-0.00288192,0.201214873789685,0.312,0.006,0.0291599263616812,6.90039,-0.139259,0.127136,999544.016022052,33039.9601206925,30.2526,10.3519,45.0,1.26703,2931015.35388148,23607.5663395704,124.156,9.52082,392.0,0.0,2714136.74900469,52759.0749318101,51.444,8.67784,44.0,VARIABLE,10.5000226842031,0.0499171984348913,-5.89952538185206,0.0399538011727419,0.00283879,111.529961334291,111.52998916666668,0.0590312,0.0174190983889548,-0.0733222,0.0538128,-0.376826,xxx,xxx,0.0,xxx,xxx,xxx,5.6166e+18,17.0
25,6.435,0.027,1,9.219,0.016,1,7.76,0.0139999999999999,1,1,1.046,SV PER,0.8857,11122.6,0.977360628551668,279.039522125985,84.8095,29.0,26.0,219.0,245.0,245.0,31.0,False,1.57546578587904,0.0501518161750956,0.216127,0.953047,-1.51460597759546,0.609047,1.38831,42.2897048806413,42.28971222222222,0.199065284585246,-0.0555598,-0.673624,0.123974,True,0.4585,0.61186,0.0,0.779262,162.59007444452,5.924,0.0279999999999999,33.0,-0.116846,0.0340045531869981,0.397,0.009,0.277783838936452,0.122414,0.297617,0.256609,2783925.40079779,98417.0465818398,28.287,9.23974,32.0,1.29162,6653764.85756753,68816.087904169,96.6891,8.6307,271.0,0.0,5810237.98630326,142122.19776296,40.882,7.85144,32.0,VARIABLE,-1.73239420530041,0.320219172888135,5.46157530723306,0.40851404983012,0.0585211,72.449765657911,72.44973374999998,-0.0476273,0.248529746219707,0.280996,0.201762,-0.434538,-9.88948863687003,7.16680224753442,15.0,0.0,4.5,4750.0,2.03497e+17,12.0
26,6.024,0.01,1,8.732000000000001,0.026,1,7.302,0.009,1,0,1.149,SV VEL,xxx,279.192,0.0,0.0,1.11226,30.0,2.0,259.0,261.0,261.0,31.0,True,1.48677126132209,0.0084757020277295,0.0384901,127.458,2.36577159827114,0.758877,1.5815,-56.2895427039618,-56.28955416666666,0.0314226074995258,0.255935,-0.249958,0.170042,False,xxx,0.844288,0.0,0.822622,285.998351946506,5.524,0.015,36.0,0.00875783,0.406077584512038,0.409,0.008,0.0374226030659232,10.8511,0.142751,0.308213,2889260.80859347,73606.670949535,39.2527,9.19942,34.0,1.27327,7927362.6374418,55104.8516860263,143.86,8.44054,285.0,0.0,7204425.49264081,134808.408370035,53.442,7.61792,34.0,VARIABLE,2.6712303574658,0.0564811889996971,-7.20573224198516,0.0529420190732473,0.0957491,161.23472070691,161.23477624999998,-0.0367462,0.027784807765208,-0.334362,0.039077,-0.310204,11.3528454138587,4.56671503479201,11.0,0.0,2.0,6000.0,5.35133e+18,16.0
27,4.214,0.027,1,7.268,0.047,1,5.648,0.033,1,0,1.653,SV VUL,0.5307,470.691,0.0,1.6341333962829702e-15,6.01695,35.0,2.0,304.0,306.0,306.0,31.0,True,1.4308933166161,0.00587932195325,0.0362921,192.699,0.321951689642803,0.979902,1.8921,27.4602070668531,27.460231944444445,0.0249254433206872,0.056211,-0.291347,0.0523803,False,0.221,3.76509,0.0,0.912198,63.9469222550287,3.641,0.035,43.0,-0.0121112,0.372855299420565,0.457,0.011,0.0303493401577645,12.2854,-0.0779166,-0.154613,10013971.6695946,477517.241837968,20.9709,7.84987,34.0,1.2843,33678926.5063535,551700.700877173,61.0456,6.86997,332.0,0.0,33239842.170986,1221588.24158566,27.2103,5.95777,35.0,VARIABLE,-5.8196763303038,0.0496864083087786,-2.13887198154622,0.0452316957228776,-0.115193,297.87876445837,297.8787745833333,-0.171374,0.0192606235972456,0.0134783,0.0638421,-0.275348,3.18157121932989,4.34414726194784,20.0,0.0,1.0,6000.0,2.02795e+18,17.0
